,index,sessionid,next,userHash,latitude,longitude,connectionType,platformType,country_code
12487,579684,-1190557691832163239,False,-8709625514331657520,35.6897,139.6895,2,5,jp
12488,578946,-1188515226495664826,False,-3377334215544847383,50.6337,5.5675,1,5,be
12489,577558,-1187308901999359912,False,9196537730428119553,45.5534,9.3417,1,1,it
12490,579106,-1186530212998826065,False,2966543105709817901,33.7485,-84.3871,2,5,us
12491,934451,-1186275526382394236,False,5861776172976318406,4.8588,-74.0553,1,7,co
12492,580926,-1184777558976628275,False,-7788870647723133286,-28.1341,-54.7341,2,7,br
12493,581757,-1184777558976628275,True,-7788870647723133286,-28.1341,-54.7341,2,7,br
12494,783156,-1184277583449592574,False,-4630208608512453235,33.9243,-117.6105,2,5,us
12495,783152,-1184277583449592574,True,-4630208608512453235,33.9243,-117.6105,2,5,us
12496,577521,-1184225227586808147,False,-2024868073894780256,34.4994,-117.2936,1,1,us
12497,577793,-1183729048566341508,False,-5181388288504871910,28.5274,-81.6012,1,1,us
12498,577858,-1181761989136840131,False,835170250255313364,34.197,-118.8199,1,1,us
12499,783015,-1180717223408520197,False,-4522604823553271745,-37.8939,145.0251,2,7,au
12500,783013,-1180717223408520197,True,-4522604823553271745,-37.8939,145.0251,2,7,au
12501,580720,-1180534464047889331,False,-2830521704890116944,30.1709,-85.5796,2,7,us
12502,591006,-1180137481446540910,False,4633454761507702577,42.2435,-71.8368,1,5,us
12503,591000,-1180137481446540910,True,4633454761507702577,42.2435,-71.8368,1,5,us
12504,477078,-1179917481603101976,False,6047429301905569945,35.7439,139.6461,2,4,jp
12505,477077,-1179917481603101976,True,6047429301905569945,35.7439,139.6461,2,4,jp
12506,198641,-1179238188163545603,False,-1541259748081985183,39.338,-82.986,1,1,us
12507,577998,-1177722902097907165,False,-1421160412850836877,35.8357,139.565,2,4,jp
12508,199082,-1177525221422902822,False,-9157664741110462051,38.0551,-97.9323,2,5,us
12509,580475,-1177412582458987050,False,-6162516404569543161,-23.1023,-45.922,1,7,br
12510,580700,-1177177464029212660,False,3483339066622303222,34.1151,-83.5749,2,7,us
12511,581676,-1177177464029212660,True,3483339066622303222,34.1151,-83.5749,2,7,us
12512,14569,-1175781811575539773,False,262819028178396423,40.8547,-73.9218,1,1,us
12513,578185,-1175258913506374859,False,-7050448979397888351,32.6587,-97.1617,2,4,us
12514,198975,-1174834291123423050,False,-3217225432506505267,-33.6141,-70.5893,2,4,cl
12515,579385,-1174389398596333209,False,-6798407515355168796,35.1728,-79.3919,1,5,us
12516,581099,-1174079549619828449,False,-313734122227177700,-21.1122,-42.9711,2,7,br
12517,577602,-1173908635154197840,False,1126889388812582276,35.0307,-120.4972,1,1,us
12518,773360,-1172020021393375554,False,-7686361732039726189,-23.6283,-46.6409,1,1,br
12519,783292,-1171570790390929894,False,8855932769250724105,33.468,-87.0924,2,7,us
12520,783279,-1171570790390929894,True,8855932769250724105,33.468,-87.0924,2,7,us
12521,272366,-1170864882010459788,False,8507729447476374820,39.6163,-76.866,1,5,us
12522,273113,-1167459542377595225,False,-811767786994701282,-33.8715,151.2006,2,7,au
12523,14401,-1166946369440635455,False,-7028008337306916962,44.2719,5.2715,2,5,fr
12524,14440,-1166358889549630801,False,-4022644922436600478,41.8783,-87.6907,2,5,us
12525,255144,-1166197741387491138,False,-8806214046100948040,41.6405,-0.8814,1,1,es
12526,75186,-1165443308669656156,False,-379458818093530616,41.3747,-81.9132,1,7,us
12527,153512,-1163155743072530678,False,8937802232118909329,39.953,-83.0767,2,7,us
12528,272515,-1163110771114039499,False,-4148856336221608807,-29.6675,-50.8557,2,5,br
12529,271190,-1162523640995821557,False,-1484964631051000471,47.5982,-52.6903,1,1,ca
12530,272540,-1160693485415713673,False,-7338784506389463946,33.9883,-118.3294,2,5,us
12531,273681,-1160693485415713673,True,-7338784506389463946,33.9883,-118.3294,2,5,us
12532,74854,-1160488604180149181,False,4647642661748471020,34.3789,-80.0831,2,5,us
12533,339761,-1159072875344968689,False,2847897229577007558,-30.1169,-51.2658,2,4,br
12534,339716,-1159072875344968689,True,2847897229577007558,-30.1169,-51.2658,2,4,br
12535,271646,-1158853248636746063,False,-159477891747712910,55.7483,37.6171,2,4,ru
12536,773526,-1155613981771078083,False,-3638435351652396343,-21.3382,-47.7617,1,1,br
12537,773534,-1155613981771078083,True,-3638435351652396343,-21.3382,-47.7617,1,1,br
12538,75028,-1154660144138825643,False,-5868013226637681782,53.3919,-2.5737,2,5,gb
12539,339722,-1153757575020838898,False,-3016146899300328704,42.1513,24.7518,1,1,bg
12540,339708,-1153757575020838898,True,-3016146899300328704,42.1513,24.7518,1,1,bg
12541,272567,-1153248862539658915,False,3161094228494657158,35.7732,139.6237,1,5,jp
12542,272319,-1152952072814036458,False,6394325283595867870,37.5742,-122.325,1,5,us
12543,273020,-1152740533621193239,False,-899023506479762126,28.9351,-81.9903,2,7,us
12544,272854,-1152505833040074395,False,-6054716562884757103,42.0738,-72.0303,1,7,us
12545,339728,-1152418628941535015,False,-4219595850798797403,47.5736,-94.7896,1,1,us
12546,339712,-1152418628941535015,True,-4219595850798797403,47.5736,-94.7896,1,1,us
12547,272418,-1152290758784506490,False,1339785688256167598,45.748,4.85,2,5,fr
12548,773618,-1150546630610036905,False,-2643319736591873955,42.7118,-87.8252,2,7,us
12549,773608,-1150546630610036905,True,-2643319736591873955,42.7118,-87.8252,2,7,us
12550,477053,-1150530682550286117,False,-2633868288535571121,24.9889,121.3176,1,1,tw
12551,815760,-1148289409491476179,False,-4799095887870521927,32.7254,-97.3208,2,7,us
12552,815756,-1148289409491476179,True,-4799095887870521927,32.7254,-97.3208,2,7,us
12553,272285,-1148049922980248154,False,2291133072667280794,8.9948,-79.523,1,5,pa
12554,273653,-1148049922980248154,True,2291133072667280794,8.9948,-79.523,1,5,pa
12555,783113,-1147845188618897179,False,5526804520918106860,34.024,-84.2396,2,4,us
12556,783118,-1147845188618897179,True,5526804520918106860,34.024,-84.2396,2,4,us
12557,272910,-1147826511601574288,False,-237438670746618850,30.2423,-97.7672,1,7,us
12558,339784,-1146701274439512812,False,4766544542185302933,34.7995,134.9837,2,4,jp
12559,339717,-1146701274439512812,True,4766544542185302933,34.7995,134.9837,2,4,jp
12560,272009,-1144004605507629381,False,2735151333748095380,52.6513,-1.0876,2,5,gb
12561,773364,-1143964765955895378,False,-5925326149065002282,42.4211,-82.1939,1,5,ca
12562,773359,-1143964765955895378,True,-5925326149065002282,42.4211,-82.1939,1,5,ca
12563,254841,-1143809050906212915,False,-992410313522949586,43.9086,-75.8912,1,7,us
12564,272282,-1143634427962448978,False,-1531533079518018523,33.9531,-116.5219,2,5,us
12565,339724,-1141701994816246802,False,1878454012506214370,1.3691,103.8863,2,1,sg
12566,339709,-1141701994816246802,True,1878454012506214370,1.3691,103.8863,2,1,sg
12567,272284,-1141095212037903912,False,3924479603774562483,28.0932,-15.4574,1,5,es
12568,271300,-1138270835599985999,False,5528844896734685240,-37.8159,144.9669,1,1,au
12569,273217,-1132868551783682161,False,9104376096407712317,-31.8414,-52.5503,2,7,br
12570,273799,-1132868551783682161,True,9104376096407712317,-31.8414,-52.5503,2,7,br
12571,271940,-1131792479943814733,False,6099498532240743922,-21.5974,-48.4534,2,5,br
12572,271256,-1130907833322078650,False,-7758293981234500617,30.3478,-81.6493,1,1,us
